first,second,third,fourth
0.7,0.8,0.6,0.5
0.6,0.7,0.5,0.6
0.7,0.6,0.6,0.4
0.6,0.5,0.7,0.6
0.7,0.5,0.8,0.7
0.5,0.5,0.6,0.4
0.4,0.5,0.6,0.5
0.5,0.6,0.7,0.6
0.5,0.6,0.5,0.7
0.7,0.8,0.9,0.6
0.4,0.5,0.6,0.5
0.5,0.4,0.7,0.5
0.6,0.7,0.5,0.7
0.3,0.5,0.6,0.7
0.5,0.6,0.4,0.3
0.6,0.7,0.7,0.8
0.6,0.7,0.6,0.7
0.6,0.4,0.5,0.3
0.6,0.7,0.7,0.5
0.5,0.5,0.6,0.4
0.7,0.3,0.4,0.8
0.5,0.4,0.6,0.4
0.6,0.7,0.5,0.7
0.7,0.6,0.5,0.3
0.6,0.7,0.6,0.5
0.6,0.7,0.6,0.5
0.3,0.5,0.6,0.5
0.5,0.6,0.5,0.7
0.5,0.6,0.5,0.6
0.5,0.6,0.5,0.4
0.5,0.6,0.5,0.4
0.6,0.7,0.5,0.4
0.5,0.6,0.7,0.6
0.7,0.5,0.8,0.4
0.8,0.5,0.7,0.9
0.7,0.8,0.75,0.6
0.6,0.4,0.7,0.7
0.4,0.5,0.6,0.5
0.5,0.6,0.7,0.8
0.5,0.6,0.5,0.4
0.6,0.5,0.5,0.7
0.4,0.6,0.5,0.7
0.5,0.4,0.5,0.5
0.7,0.6,0.5,0.6
0.6,0.5,0.7,0.4
0.5,0.5,0.4,0.5
0.3,0.4,0.5,0.3
0.4,0.5,0.6,0.3
0.6,0.7,0.4,0.5
0.5,0.6,0.7,0.6
0.6,0.5,0.7,0.8
0.7,0.6,0.8,0.9
0.5,0.6,0.7,0.5
0.7,0.7,0.6,0.8
0.6,0.7,0.5,0.6
0.6,0.5,0.6,0.7
0.7,0.7,0.6,0.7
0.4,0.3,0.5,0.6
0.7,0.8,0.7,0.5
0.6,0.5,0.7,0.6
0.6,0.7,0.6,0.5
0.8,0.7,0.9,0.6
0.5,0.5,0.6,0.7
0.7,0.8,0.75,0.85
0.7,0.8,0.5,0.6
0.6,0.5,0.7,0.8
0.7,0.3,0.8,0.7
0.5,0.4,0.5,0.5
0.5,0.4,0.6,0.5
0.3,0.4,0.4,0.5
0.7,0.6,0.5,0.6
0.7,0.6,0.5,0.4
0.5,0.6,0.5,0.4
0.6,0.7,0.6,0.5
0.6,0.7,0.5,0.6
0.6,0.7,0.8,0.6
0.6,0.5,0.6,0.6
0.5,0.6,0.7,0.6
0.5,0.6,0.5,0.8
0.6,0.5,0.7,0.6
0.6,0.5,0.6,0.7
0.7,0.6,0.7,0.6
0.4,0.5,0.4,0.6
0.6,0.7,0.5,0.5
0.7,0.6,0.6,0.5
0.6,0.7,0.8,0.8
0.5,0.6,0.7,0.5
0.4,0.5,0.6,0.5
0.7,0.6,0.5,0.4
0.6,0.5,0.6,0.4
0.6,0.7,0.8,0.5
0.7,0.5,0.5,0.8
0.7,0.8,0.5,0.6
0.6,0.7,0.8,0.9
0.6,0.7,0.5,0.6
0.7,0.5,0.8,0.6
0.4,0.6,0.5,0.5
1.0,0.5,0.4,1.0
0.7,0.6,0.5,0.7
0.7,0.6,0.6,0.5
0.5,0.4,0.3,0.6
0.4,0.6,0.5,0.4
0.6,0.6,0.5,0.5
0.6,0.6,0.6,0.6
0.4,0.5,0.6,0.6
0.3,0.4,0.5,0.6
1.0,0.3,0.0,0.3
0.3,0.4,0.5,0.3
0.5,0.6,0.5,0.5
0.5,0.6,0.7,0.8
0.6,0.7,0.6,0.7
0.7,0.6,0.5,0.6
0.7,0.6,0.8,0.5
0.5,0.7,0.6,0.5
0.5,0.6,0.7,0.8
0.5,0.6,0.5,0.5
0.6,0.6,0.6,0.5
0.8,0.7,0.4,0.5
0.3,0.6,0.7,0.5
0.3,0.4,0.5,0.6
0.6,0.7,0.5,0.5
0.5,0.6,0.7,0.5
0.5,0.7,0.7,0.6
0.6,0.7,0.8,0.7
1.0,0.7,0.0,0.7
0.7,0.8,0.6,0.8
0.6,0.5,0.7,0.6
0.5,0.5,0.6,0.7
0.4,0.5,0.6,0.7
0.5,0.5,0.6,0.5
0.7,0.8,0.7,0.8
0.6,0.5,0.7,0.8
0.5,0.6,0.4,0.7
0.5,0.6,0.7,0.4
1.0,0.5,0.7,1.0
0.6,0.7,0.5,0.8
0.5,0.4,0.6,0.7
0.6,0.5,0.4,0.5
0.4,0.5,0.6,0.5
0.5,0.4,0.4,0.5
0.5,0.8,0.6,0.5
0.6,0.7,0.7,0.6
0.4,0.5,0.6,0.5
0.3,0.4,0.5,0.4
0.5,0.6,0.5,0.3
0.7,0.6,0.8,0.9
0.5,0.6,0.7,0.6
0.7,0.5,0.6,0.8
0.7,0.7,0.7,0.8
0.6,0.5,0.6,0.6
0.5,0.6,0.5,0.6
0.6,0.5,0.4,0.5
0.5,0.6,0.7,0.8
0.6,0.7,0.8,0.5
